flink,terasort,cmbw.sh,no,success,804.546686 
flink,terasort,cmbw.sh,bw,fail,1060.623490 
flink,terasort,cmbw.sh,cache,success,689.207254 
flink,terasort,cmbw.sh,bwcache,success,1186.511761 
flink,terasort,cmbw.sh,no,success,739.660650 
flink,terasort,cmbw.sh,bw,fail,1017.723942 
flink,terasort,cmbw.sh,cache,success,852.528069 
flink,terasort,cmbw.sh,bwcache,success,969.650089 
flink,terasort,cmbw.sh,no,success,759.033960 
flink,terasort,cmbw.sh,bw,success,1170.696620 
flink,terasort,cmbw.sh,cache,success,775.498479 
flink,terasort,cmbw.sh,bwcache,fail,1147.735567 
spark,terasort,clbm.sh,no,success,192.277721 
spark,terasort,clbm.sh,bw,success,267.428236 
spark,terasort,clbm.sh,cache,success,202.021074 
spark,terasort,clbm.sh,bwcache,success,166.977183 
spark,terasort,clbm.sh,no,success,241.118989 
spark,terasort,clbm.sh,bw,success,192.418780 
2015-12-16 17:32:10,flink,terasort,cmbw.sh,bw,success,107.575999 
2015-12-16 17:36:56,flink,terasort,cmbw.sh,cache,success,163.996162 
2015-12-16 17:40:26,flink,terasort,cmbw.sh,bwcache,success,87.870799 
2015-12-16 17:51:09,flink,terasort,clbm.sh,no,success,74.499688 
2015-12-16 17:54:46,flink,terasort,clbm.sh,bw,success,86.070939 
2015-12-16 18:00:27,flink,terasort,clbm.sh,cache,success,207.837739 
2015-12-16 18:06:17,flink,terasort,clbm.sh,bwcache,success,218.830754 
2015-12-16 18:09:47,flink,terasort,clbm.sh,no,success,78.366982 
2015-12-16 18:13:22,flink,terasort,clbm.sh,bw,success,83.435338 
2015-12-16 18:18:29,flink,terasort,clbm.sh,cache,success,174.956751 
2015-12-16 18:24:18,flink,terasort,clbm.sh,bwcache,success,216.154992 
2015-12-16 18:27:48,flink,terasort,clbm.sh,no,success,78.091964 
2015-12-16 18:31:28,flink,terasort,clbm.sh,bw,success,89.054206 
2015-12-16 18:37:02,flink,terasort,clbm.sh,cache,success,202.490670 
2015-12-16 18:42:23,flink,terasort,clbm.sh,bwcache,success,189.120669 
2015-12-16 19:27:15,flink,terasort,comnet.sh,no,success,78.105361 
